DEPTH,BS,GR,DTCO,DTSM,MSFL,LLD,LLS,RHOB,SP,NPHI,DRHO
756.0564,8.5,109.1482,104.0657,238.2715,4.0576,2.9939,3.0481,2.5032,144.3125,0.33,-0.0179
756.2088,8.5,111.864,104.6742,242.6105,4.5558,3.1138,3.1659,2.5104,143.5625,0.3379,-0.0171
756.3612,8.5,107.3079,105.3396,244.5349,4.6772,3.3269,3.3832,2.5398,143.75,0.3336,-0.0106
756.5136,8.5,105.1528,105.9978,249.1694,4.6811,3.6629,3.6471,2.5508,143.875,0.3229,-0.0066
756.666,8.5,101.8487,106.2404,252.6442,4.8329,3.9105,3.8944,2.5633,144.125,0.306,-0.0027
756.8184,8.5,103.7269,106.2217,253.9969,5.5057,4.0988,4.0826,2.5502,143.9375,0.2928,0.0003
756.9708,8.5,104.3361,105.9445,255.3142,6.2399,4.2129,4.1968,2.5495,143.875,0.2858,0.0016
757.1232,8.5,105.1993,105.4534,257.0911,5.3655,4.2686,4.2581,2.5438,143.75,0.3006,-0.0031
757.2756,8.5,106.4282,104.4236,252.8416,5.6822,4.1618,4.145,2.5558,143.6875,0.2984,-0.0024
757.428,8.5,104.9377,103.2455,256.0843,5.1325,4.1307,4.0998,2.568,143.9375,0.307,-0.0009
757.5804,8.5,105.8581,101.7172,250.9033,5.7549,4.0699,4.0297,2.5732,144.125,0.3,0.0013
757.7328,8.5,105.2698,101.236,248.3208,5.2913,3.8456,3.8072,2.58,144,0.304,0.0029
757.8852,8.5,109.2358,100.0316,247.4377,5.187,3.7658,3.7297,2.562,144.25,0.3007,0.002
758.0376,8.5,109.6581,99.2274,238.7996,4.6233,3.5868,3.6206,2.5667,144.0625,0.3098,0.0019
758.19,8.5,114.0697,99.0471,229.7199,5.3349,3.4676,3.5106,2.5487,144.5,0.3344,0.0034
758.3424,8.5,109.3694,98.8992,230.3065,4.3332,3.6539,3.6484,2.5562,144.375,0.356,0.0008
758.4948,8.5,109.0442,99.0933,237.1998,5.2063,3.8563,3.8654,2.5469,144.125,0.3338,0.0003
758.6472,8.5,107.4046,99.5355,237.5197,5.8438,4.0416,4.0706,2.5447,144.4375,0.298,-0.0035
758.7996,8.5,107.7599,99.8722,239.1507,6.7324,4.1847,4.212,2.5411,144.5625,0.282,-0.0021
758.952,8.5,111.4849,100.1103,241.3951,5.8045,4.0887,4.1337,2.5407,144.375,0.2934,-0.0058
759.1044,8.5,106.4879,100.1089,243.8493,4.7192,3.898,3.9973,2.5484,143.6875,0.3006,-0.0043
759.2568,8.5,108.1247,100.1416,236.4436,4.9406,3.524,3.6982,2.5478,144.25,0.3124,-0.0042
759.4092,8.5,106.7889,100.2239,235.3768,4.9082,3.3556,3.5305,2.551,144.625,0.3196,0.0037
759.5616,8.5,109.6011,101.0635,239.6271,4.4986,3.361,3.546,2.5455,144.3125,0.3335,0.0016
759.714,8.5,113.802,101.6507,244.453,4.8021,3.3007,3.5095,2.552,144.1875,0.3499,0.0026
759.8664,8.5,110.3764,101.0449,242.297,4.9993,3.2661,3.4878,2.5649,144.1875,0.3472,0.0083
760.0188,8.5,111.9734,101.6888,236.5415,4.6427,3.3081,3.5609,2.5557,144.0625,0.3331,0.0054
760.1712,8.5,105.6536,102.0522,252.4636,4.5626,3.3772,3.6563,2.5482,144.125,0.3149,0.0007
760.3236,8.5,107.5631,101.6379,247.7298,4.7862,3.4328,3.7469,2.5538,144.1875,0.3148,0.0005
760.476,8.5,106.3874,102.0777,243.9297,5.1854,3.4331,3.7734,2.5706,144.5,0.3223,0.0038
760.6284,8.5,106.6151,102.3264,251.1095,5.0015,3.3503,3.7323,2.5734,144.4375,0.3363,0.0004
760.7808,8.5,109.7217,102.3742,249.7645,4.6566,3.1462,3.5655,2.5554,144.6875,0.3431,-0.0041
760.9332,8.5,107.3252,102.3786,255.0344,3.9377,3.0512,3.4957,2.5547,144.375,0.3484,-0.0021
761.0856,8.5,111.8236,102.4476,249.0029,4.4505,3.1064,3.5733,2.5488,144.375,0.3189,-0.003
761.238,8.5,108.8841,102.8008,253.3528,5.419,3.2776,3.7848,2.5572,144.625,0.3105,-0.0002
761.3904,8.5,113.4851,103.0165,257.0842,5.4602,3.6108,4.1227,2.5567,144.625,0.3119,-0.0012
761.5428,8.5,110.3518,102.8742,260.1412,5.2143,3.9257,4.4701,2.5532,144.75,0.3476,0.0017
761.6952,8.5,108.7545,102.564,261.7568,6.0289,4.0992,4.6381,2.5303,144.3125,0.3596,0.0013
761.8476,8.5,101.112,102.2136,249.1088,6.3975,4.0732,4.5905,2.5177,144.9375,0.3455,0.0038
762,8.5,100.8419,101.6516,255.9911,5.9385,4.0717,4.5482,2.5075,145,0.3328,0.0013
762.1524,8.5,104.3499,100.8565,252.733,4.7178,4.0286,4.4539,2.5355,144.8125,0.3172,0.0066
762.3048,8.5,107.75,99.947,245.6958,5.1061,4.3753,4.694,2.4473,146.1875,0.3491,0.0048
762.4572,8.5,101.741,99.0661,240.8656,4.681,4.5783,4.6219,2.2153,146.1875,0.4404,-0.012
762.6096,8.5,94.8507,97.6938,232.5982,16.9656,4.7322,4.5093,2.0607,146.75,0.4783,-0.022
762.762,8.5,99.2178,96.347,229.3988,2.7842,4.5321,4.2168,2.072,147.3125,0.4685,-0.0004
762.9144,8.5,105.0799,100.7901,208.7748,2.7197,3.8148,3.6562,2.1889,147.125,0.3929,0.0177
763.0668,8.5,114.9327,103.2863,199.8802,2.3515,3.3196,3.2496,2.3408,146.875,0.3698,0.0484
763.2192,8.5,114.8155,106.1525,216.5072,2.3643,3.1853,3.1646,2.4017,146.5625,0.3794,0.0414
763.3716,8.5,118.6368,108.1617,225.3193,3.0241,3.1489,3.1886,2.4637,145.9375,0.3507,0.0337
